action,att,att_img,action_description,icon_action,img_action,action_type,img_action_type,action_type1,action_type2,action_type3,counter,has_bonus,opp_has_bonus,action_condition,action_formula_lit,action_formula_array,action_energy,resultminus3,resultminus2,resultminus1,result3,result1,result2,result3,action_group_possib,action_detail
FOCAR,RAZ,⚙️,"Concentração mental e precisão. Ao gastar uma ação com FOCAR, havendo sucesso, ganha a condição Focado, que dá bônus  em certas ações seguintes.",,,"Ação, Rolagem Passiva",,🔒,⏫,⭯,"Distrair, Narração",Calma,,"Ação para obter a condição FOCADO, gasta duas energias. Na modalidade Rolagem Passiva, é a defesa contra DISTRAIR e não gasta energia.",,,2⚡,"Fica mais confuso e frustrado. Estresse ou Culpa. Se passivo, não percebe o que está vindo e encontra-se na condição DISTRAÍDO, mais vulnerável a ataques. Se estiver executando um feitiço, algo sai errado e machuca a si, a alguém ou algo no ambiente.","Não é capaz de focar, não conseguindo realizar a atividade, mas sem deixar nenhum efeito adverso.","Ao focar, fica vulnerável a surpresas externas. Se estiver realizando um feitiço, pode escolher gastar a próxima vez para completar a ação com Sucesso (+2) ou aceitar a falha e não perder sua próxima vez.","Alterna entre o foco e a distração, e para focar de verdade vai precisar de ajuda, seja mudando de local, ou de algum feitiço ou poção. Se realizando um feitiço, não consegue controle total, produzindo um efeito aquém do esperado.","Gastando +1 Energia, consegue focar, e conseguir o resultado do Sucesso (+2).","Segue compenetrado apesar das distrações. Se realizando feitiço, consegue efeito e controle parcial.","Está totalmente focado e obstinado no seu propósito, impossível de ser distraído e receberá +1d3 para a próxima ação utilizando esse foco. Se estiver fazendo um feitiço, consegue seu efeito e controle total.",❌,
ENFEITIÇAR / DESENFEITIÇAR,RAZ,⚙️,"Feitiços de controle ou modificação de propriedades, usando Razão.",,,Ação,,⚔,💬,🔒,DEF,,,,"RAZ + Proficiência do Feitiço ou Arma + Bônus +  1d3Fixo
",,1⚡,"Realiza o feitiço errado, causando um efeito adverso, muito ruim para si, e muito vantajoso para o adversário.","Realiza o feitiço errado, causando um efeito adverso.",Não consegue produzir o feitiço.,Consegue um efeito inesperado que lhe ajuda mas também atrapalha.,Menor Efeito do feitiço.,Efeito do feitiço.,Efeito Extra do feitiço.,🤝,
TRANSFORMAR,RAZ,⚙️,"Mudar a forma de objetos ou seres, e usá-los em seguida.",,,Ação,,💎,⭯,,"Narração, ATK",,,,RAZ + Proficiência com Feitiço + Bônus + 1d3Fixo,,1⚡,Acidentalmente causa uma explosão mágica ou cria um resultado deformado e desastroso e errante que afeta negativamente todos os próximos à área.,"Produz algo que, se animado, se revolta contra o jogador. Se não animado, causa uma explosão ou barulho que alerta inimigos próximos ou causa algum tipo de atrapalho.","A transformação não é bem-sucedida, mas o jogador não sofre lesões. Perde 1 Energia além do normal.","Produz uma versão básica da transformação, que não cumpre os efeitos desejados totalmente mas também não se volta contra si, e também não tem o item transformado sob seu controle. Por 1 Energia,  jogador ganha a chance continuar com a vez para reparar e melhorar a situação.","O jogador transforma o objeto ou ser com sucesso, mas o item não está necessariamente sob seu controle.","A transformação é bem competente, permitindo que o controle suficiente do o objeto ou ser transformado.","Realiza uma transformação perfeita com não somente os efeitos desejados, como efeitos acidentais positivos. Obtém também total domínio sobre o objeto ou ser.",⚖️,
CONFECCIONAR / REPARAR,RAZ,⚙️,"Conjurar, confeccionar ou consertar itens.",,,Ação,,💎,➕,⭯,Narração ,Conhecimento,,,RAZ + Proficiência com Feitiço ou Ferramentas + Bônus + 1d3Fixo,,2⚡,O item que você consegue produzir não serve para nada e causa problemas sérios. Você gasta 1 Energia além do normal.,"Seu personagem não consegue terminar o item, e perde 2 Energia no processo, além de ficar com Estresse ou com Raiva.","Seu personagem não sabe, mas o item que produziu pode causar problemas. Seu personagem é obrigado a usá-lo, já que não sabe que ele está defeituoso.","Sua obra fica inacabada ou instável. Ainda pode servir, mas não é confiável e poderá causar algum problema sério. Ou você consegue terminá-la mas gasta muito tempo.",O item produzido consegue fazer 50% do propósito desejado. Você gasta 1 Energia além do necessário.,O item produzido fnalizado é capaz de fazer 75% do propósito desejado.,O item é produzido com sucesso e serve bem para o fim desejado.,⚖️,
PERCEPÇÃO,RAZ,⚙️,"Perceber detalhes e enganações, de forma passiva.",,,Rolagem Passiva,,🔍,🔒,⏫,"Narração, Enganar",Alerta,Escondido,Rolagem Passiva: O narrador solicita uma rolagem para saber se o personagm percebeu algo.,,,,"Não é capaz de identificar se está sendo enganado ou se é um blefe. Não tem nenhuma pista ou evidência. Tem tendência a concordar com o outro. Recebe um marcador de Afeto para com o interlocutor, dificultando sua resistência a ele.",Não é capaz de identificar se está sendo enganado ou manipulado. ,"Fica desconfiado, mas não é capaz de identificar vestígios ou enganação.",Receberá uma resposta vaga do Narrador.,É capaz de identificar que está sendo enganado. Nota algo vago no ar. Ganha um marcador de Desconfiança ou a condição Alerta.,"Faz uma boa leitura da pessoa, da situação ou do ambiente, e receberá uma dica do narrador suficientemente reveladora. Ganha um marcador de Desconfiança ou a condição Alerta.","É capaz de resistir a qualquer investida de Enganação ou armadilha, percebendo detalhes nas entrelinhas da mentira. Ganha um marcador de Desconfiança ou a condição Alerta.",❌,
INVESTIGAÇÃO,RAZ,⚙️,Observar detalhes e detectar sutilezas em ambientes e vestígios de magia.,,,Ação,,🔍,💎,⏫,,Calma,Furtividade,"Jogador escolhe a Dificuldade e deverá alcançá-la. Havendo sucesso, terá a resposta referente àquela Dificuldade.",RAZ + Familiaridade + Bônus + 1d3Fixo,, 1-3⚡,"Entende pistas falsas, o que fará o personagem receber um dado a menos em qualquer rolagem até fazer o que o seu personagem inferiu erroneamente.",Não consegue identificar as respostas para as suas perguntas para o Narrador.,"Recebe um marcador de Desconfiança (se estiver lidando com pessoas), mas não é capaz de identificar vestígios.",Receberá uma resposta vaga do Narrador. Recebe a condição Alerta ou um marcador de Desconfiança.,"Receberá uma resposta do narrador, ainda que pouco esclarecedora. Recebe a condição Alerta se relevante.","Receberá uma resposta do narrador não exatamente precisa, porém suficientemente reveladora. Recebe a condição Alerta se relevante.","Consegue identificar magia ou rastros com mestria, recebendo respostas precisas e práticas do Narrador. Recebe a condição Alerta se relevante.",⚖️,
OCLUMÊNCIA,RAZ,⚙️,Proteger a mente contra leituras indesejadas.,,,Rolagem Passiva,,🔒,,,"Sensibilidade ",Desconfiança,o seu Afeto,,RAZ + Bônus + 1d3Fixo,,2⚡,Dá total abertura pra leitura da mente e possessão. Estresse ou Raiva. -1 Energia.,"Seu atacante identifica sua tentativa de bloqueiro, a dribla, e consegue informações mais precisas embora não a história toda.","Você fecha sua mente, mas deixa escapar algum detalhe vago que o seu atacante esteja buscando.","Sua mente se fecha e fica impossível de extrair algo dela, mas apenas enquanto o seu personagem estiver totalmente concentrado.","O seu atacante não consegue alcancar suas memórias e sentimentos mais íntimos, apenas os superficiais.","Sua mente fica protegida de qualquer leitura, mas o seu atacante vai ter certeza que você está bloqueando a mente para ele.","Sua mente fica blindada e impenetrável, embora possa parecer que está vulnerável caso você queira, não deixando o alvo perceber que a tentativa dele de legilimência não deu certo. ",❌,
BUSCAR,RAZ,⚙️,Encontrar informações ou objetos.,,,Ação,,🔍,💎,,Narração ,Mais de uma pessoa,,,,,2-5⚡,Não encontra absolutamente nada útil e ainda faz uma bagunça e perde 2 Energia. Ganha 1 medidor de Estresse.,"Não encontra o que busca, tendo certeza que não está aí (embora esta certeza condiga ou não com a realidade). Perde 1 Energia. ","Não encontra o que busca, mas fica muito interessado na busca, perdendo os próximos minutos de ação.",Encontra pistas de onde pode encontrar o que busca.,"Encontra algo vago e razoavelmente útil, ou parte do que busca apenas.",Encontra algo útil e relativamente completo ou específico.,"Caso esteja disponível no local, encontra exatamente o que procurava, e ainda encontra algo além que pode ajudar grandemente. ",❌,
APRENDER,RAZ,⚙️,"Absorver novos conhecimentos através de leitura, aulas ou estudo.",,,Ação,,🔍,⏫,,Narração ,,,,,,2-5⚡,"Não consegue aprender o tópico novo de maneira nenhuma. É incapaz de realizar ações com ele, e se tentar irá se machucar ou machucar alguém. Fica frustrado; com Raiva ou Estresse. Gasta 2 Energia.",Não aprende o suficiente para realizar algo com o conhecimento. Gasta 1 Energia.,"Não é capaz de aprender nada além do básico. Se tentar usar o conhecimento, terá uma dedução de -1d3.",Ainda falta algo para finalizar o aprendizado básico desse conceito.,"Aprende o básico, para conseguir realizar a ação, porém sem nenhum bônus, e ainda gastará 1 Energia com a dificuldade do principiante.",Aprende o tópico de forma a não gastar energia ao tentar realizá-lo.,"Consegue adquirir o conhecimento com facilidade, podendo de agora em diante usar +1d3 com rolagens relacionadas a este assunto.",⚖️,
CONHECIMENTO,RAZ,⚙️,Saber ou conhecer algum assunto.,,,Ação Bônus,,🔍,⏫,,Narração ,,,,,,,"É completamente ignorante nesse assunto. Tem um bloqueio total, e se tentar fazer alguma coisa nesta área, vai ter dedução de -1d3 e perder 1 energia.",Não sabe nenhuma informação útil. Ganha um marcador de Culpa ou Estresse.,Sabe alguns fragmentos muito imprecisos que não servem pra muita coisa. Perde 1 energia.,"Já ouviu falar, mas precisa de algo para ajudar a lembrar. Um livro, uma conversa, etc.",Sabe por alto algum detalhe útil.,Conhece até o nível intermediário do assunto.,Expert no assunto. Sabe de cabeça e sem dificuldades. +1d3 para qualquer ação que tente fazer com este conhecimento.,❌,
RESOLVER ENIGMA,RAZ,⚙️,"Resolver puzzles, charadas e mistérios.",,,Ação Bônus,,🔍,,,Narração ,,,,,, 2⚡,"Jogador estraga o enigma, invalidando-o ou agora tendo que lidar com o fato de tê-lo arruinado, inimigos podem aparecer ou o caminho ser bloqueado de vez.",Jogador ganha um medidor de Estresse e perde 1 Energia,"Enigma fica mais difícil, ou joador perde 1 Energia",Receberá um breve missão para conseguir uma dica,Recebe uma dica vaga do narrador.,Recebe uma boa dica do narrador,Recebe a resposta certa do narrador,⚖️,
MALDIÇÃO / INFLIGIR DOR,MAL,𖦹,"Usar maldições, ou causar sofrimento físico ou emocional.",,,Ação,,⚔,,,DEF,"Raiva, Satisfação",,Precisa haver Raiva ou Satisfação. Esta modalidade de combate foca em causar DANO e EFEITO EXTRA.,,,1⚡,Algo dá errado na sua maldição ou tentativa de machucar e volta em você com a mesma intensidade que você tinha intencionado ao alvo.,"Você gasta muita energia para tentar realizar esse feito, mas não dá certo, causando você gastar energia à toa. (2 Energias).","Seu personagem não consegue realizar ação de forma que cause algum efeito, lhe deixando com Culpa, com Raiva ou Estresse.",Não produz nenhum efeito.,Causa apenas o Efeito normal da maldição ou machucado pelo tempo e intensidades 'originais'.,"Sua maldição ou golpe dá certo, causando Dano + Efeito Extra, e lhe dando a condição de Satisfeito.","Causa dor e sofrimento imediatos, deixando a vítima com sérios efeitos por tempo prolongado. (2x Dano + Efeito Extra)",🤝,
AZARAR,MAL,𖦹,"Use feitiços de controle ou modificação de propriedades, como Jinxes e Hexes, que causam desconforto e efeitos negativos ao alvo. 
",,,Ação,,⚔,,,DEF,,,"Conhecimento em Transfiguração ou Feitiços pode afetar bônus.
Pode causar diversas Condições no alvo.","MAL + Proficiência com Feitiço ou Arma + Bônus +  1d3Fixo
",,1⚡,"Realiza o feitiço errado, causando um efeito adverso, muito ruim para si, e muito vantajoso para o adversário.","Realiza o feitiço errado, causando um efeito adverso.",Não consegue produzir o feitiço.,Consegue um efeito inesperado que lhe ajuda mas também atrapalha um pouco.,Dano + Menor efeito ou rápido efeito,Dano + Efeito,Dano + Efeito Extra,🤝,
DESVIAR,MAL,𖦹,Esquivar-se de golpes. Obriga o adversário a fazer um teste de MIRAR. ,,,Ação,,🛡,⭯,,Mirar,Renunciar a próxima vez,Focado,"Esta modalidade de combate foca em evitar DANO, e tentar garantir a próxima vez. 
Bônus:
+ Se já estiver em movimento antes;
+ Se sacrificar sua próxima ação;
- Se estiver sob algum efeito negativo que envolva a capacidade de movimento;","MAL + Velocidade + Bônus + 1d3Fixo
",,1⚡,"Recebe o impacto em cheio, em um ponto vulnerável, recebendo 2x o Dano determinado no acerto crítico do ataque.","Recebe o golpe numa região não muito importante, mas inconveniente o suficiente para causar dano e consequências. Além disso, vale também o resultado Sucesso (+2) do atacante.","Recebe o golpe de raspão, com efeitos mínimos (menos de 50%). Ver o resultado Sucesso Simples (+1) do atacante.","Só irá conseguir desviar ou bloquear se mexer no ambiente, lançando algo na frente ou mudando de posição drasticamente. Ganha mais uma ação para tentar.","Por pouco, consegue se esquivar totalmente, gastando sua vez. Recebe o Status EM MOVIMENTO.",Consegue desviar numa bela esquiva e tem +1d3 na próxima ação.,Não somente consegue desviar como está na posição perfeita e com tempo suficiente para contratacar. Ganha mais uma vez. ,❌,
EMBOSCAR,MAL,𖦹,Funciona como se fosse a ação SURPREENDER mais um ATAQUE.,,,Ação,,⚔,⭯,,DEF,,,"Só é possível se alvo não estiver esperando (você está escondido, ou seu alvo não está interagindo com você, ou é um feitiço ou ação inusitados).","MAL + Proficiência com Feitiço ou Resultado da Armadilha + Bônus +  1d3Fixo
",,1⚡,"Seu adversário/alvo é alertado e e corta na sua vez, neutralizando a sua.",Seu adversário fica desconfiado e tem +1d3 para Proteger.,"Erra a execução, gastando a vez à toa.","Percebe que não é a hora ideal para dar o bote, hesitando. Mas terá +1d3 na próxima vez, caso não saia desse estado de atenção pronto para atacar.",Efeito curto ou menor,Realiza o efeito comum do feitiço ou golpe,"Dano + Efeito, e seu personagem ganha uma vez.",⚖️,
SURPREENDER,MAL,𖦹,"Realizar emboscadas e ataques furtivos, ou ou pegar alguém de surpresa. Use combinado com um ação inusitada, inesperada, armadilha ou golpe baixo.",,,Ação em Conjunto,,⏫,⭯,,Percepção ,Escondido,Alerta,"Personagens SURPREENDIDOS têm menos um dado para se defender, e podem perder o FOCO.

Esta també é uma ação bônus ao usar feitiços não-verbais. ",,,,"Se atrapalha e se revela antes da surpresa, deixando o inimigo mais preparado que você. Você perde sua próxima ação e você terá -1d3 na ação seguinte.","Deixa o inimigo suspeito antes da sua emboscada. Ele não se surpreende com o susto, e na realidade fica mais preparado ainda, ganhando +1d3 na sua próxima ação.","O inimigo fica surpreso, mas consegue se preparar para se defender a tempo. Você só conseguirá Emboscar ou o bônus da surpresa se tirar pelo menos +2 na ação principal.",Você não se sente pronto para sua emboscada. Providencie mais algum elemento para tentar distrair o alvo. Você ganha mais uma ação para tentar isso.,"Surpreende o inimigo, que perderá uma rodada para tentar se defender.","Pega o inimigo desprevenido, que perderá a vez, e você terá +1d3 na próxima ação.","Pega o inimigo totalmente desprevenido e sem estar com a arma pronta na mão. Você ganha +1d3 nas próxima ação, e seu dano será duplicado caso seja uma ação com dano.",⚖️,
DISTRAIR,MAL,𖦹,"Desviar a atenção de outros, interrompendo seu FOCAR, ou preparando algém para SURPREENDER, ao criar uma distração proposital.",,,Ação,,⏫,⭯,,Focar,Escondido,Focado,Personagens DISTRAÍDOS têm menos um dado para se defender de ataques aos quais não estão atentos.,,,,"Seu alvo fica mais focado do que antes, e ao tentar distraí-lo, você perde o foco e fica vulnerável a ataques -1d3 para ações relacionadas com Percepção ou Proteger-se.","Seu alvo não perde o Foco e permanece executando sua ação, ciente da sua interferência, e preparado para reagir enquanto mantém seu Foco.","No intuito de distrair ou confundir, você obtém um pequeno sucesso contra o alvo, mas algo dá errado pra você.","A atenção do alvo titubeia e o faz parar por alguns segundos o que está fazendo e sofrer os efeitos em questão, abrindo espaço para uma ação decisiva, mas retornará à ação caso nada com sucesso seja feito imediatamente.",Você consegue fazer o seu alvo perder o Foco que está tentando manter e interromper o processo dele em curso por um tempo.,O alvo é distraído e comete um erro devido à sua interferência.,Seu alvo perde totalmente o Foco e estraga o que estava fazendo completamente.,⚖️,
FUGIR,MAL,𖦹,"Escapar de perseguições ou situações perigosas. seu inimigo, casoqueira apanhá-lo, vai usar as ações ao lado:",,,Ação,,🛡,,,"ATK, Iniciativa / Alcançar",Medo,Raiva,,"MAL + Velocidade + Bônus + 1d3Fixo
",,3⚡,"Cai e se machuca, perdendo pelo menos 1 Energia e 1 Ponto de Vida. Se for aparatando, poderá se estrunchar. É encurralado ou capturado com facilidade.","Após uma breve perseguição, é finalmente encurralado. Se for aparatando, tem receio de aparatar no local por perceber alguma proteção ou risco de estrunchamento.","Fica preso em alguma coisa na tentativa de fugir, mas ainda não foi encurralado ou capturado totalmente.","Está prestes a fugir, mas algo ocorre que lhe faz hesitar. Voê ainda pode escolher fugir ou não, porém deixando rastros e sendo percebido que fugiu.","Foge por pouco, deixando vestígios.","Foge com sucesso, despistando o inimigo.","Foge com folga, sem deixar nenhum rastro óbvio ou fácil de ser seguido.",❌,
ENGANAR,MAL,𖦹,Ludibriar e iludir outros com algo que seu personagem sabe que não é verdadeiro.,,,Ação,,💬,,,Percepção ,"Adversário tiver Afeto, ou for Seduzido",Desconfiado,,,,,Alvo não fica convencido e se torna hostil. Culpa ou Estresse.,"Você não consegue convencer o alvo, que te manda embora ou vai embora.","Você não consegue convencer o alvo, que permanece no ambiente como um obstáculo ou inimigo.","O alvo acredita em partes do que você disse, mas precisa de algo mais para ser convencido.","O alvo acredita no que você disse, mas fica desconfiado e com a guarda levantada daí em diante.","Você convence o alvo, que acredita suficientemente na sua mentira por uma vez e deixa você em paz.","Você convence o alvo, que cai totalmente no seu papo. Ele fica mais propenso a seguir suas direções depois disso. ",⚖️,
MANIPULAR,MAL,𖦹,"Controlar mentes ou influenciar ações. Permite também modificar as emoções de alguém, fazendo-as receber o (b)ônus das emoções relevantes.",,,Ação,,💬,,,"Percepção, Força de Vontade ","Adversário tiver Afeto, ou for Seduzido",Desconfiado,"Permite também modificar as emoções de alguém, fazendo-as receber o ônus das emoções relevantes.",MAL + Relação com Sujeito + Bônus + 1d3Fixo,,,"Alvo se torna hostil, percebendo a tentativa de manipulação. Agora um inimigo, ele terá +1d3 para sua próxima ação.","Alvo se torna hostil, percebendo a tentativa de manipulação com clareza. ","Alvo fica desconfiado de que você pode o estar manipulando, e a sua confiança se perde. Ele não aceita sua proposta.","Alvo cai na sua lábia parcialmente e fica disposto a fazer uma pequena consessão, porém ciente de seu jogo-sujo e se demosntra a contra-gosto, o que pode significar que ele ainda pode agir contra você.","Alvo toma consciêncida de que está sendo manipulado, mas tenta entrar no jogo para ver se tem algo a ganhar com a situação.","Alvo aceita sua investida e fica disposto a fazer uma consessão. Você consege mudar uma emoção do alvo, deixando-o com bônus negativo por conta desta emoção.","Além do sucesso do convencimento, o alvo não tem a menor ideia de que está sendo manipulado, e topa ajudá-lo com praticamente qualquer coisa daí em diante. Você consege mudar totalmente as emoções do alvo, deixando-o com bônus negativo das emoções mencionadas. ",⚖️,
RESISTIR SÚPLICA,MAL,𖦹,Não ceder a pedidos ou apelos emocionais.,,,Rolagem Passiva,,🔒,,,Implorar,,Satisfação,,,,,"Você não consegue continuar e cede imediatamente, se sentindo com Culpa e perdendo 1 Energia.",Você não resiste ao pedido e acaba cedendo.,"Você insiste mas acaba cedendo, após concordar com uma concessão.","Você se mantém inafetado à súplica, mas sente Culpa inevitavelmente.","Seu alvo implora, mas você segue firme na sua resolução, porém alivia um pouco o que está causando a súplica e ganha um medidor de Culpa.","Você mantém sua cabeça, inalterado pela súplica.",Você permanece intransigente quanto ao que lhe estão suplicando. Ganha também um marcador de Satisfeito.,❌,
FURTIVIDADE,MAL,𖦹,Mover-se silenciosamente e passar despercebido.,,,Ação Bônus,,⏫,,,"Percepção, Clarividência",estiver Escuro,Alerta,,,,1⚡,"É detectado por todos os inimigos imediatamente, se machucando no processo.","É detectado por pelo menos um inimigo, que sabe exatemente onde você está.","É detectado por um inimigo, que estará alerta e que deverá fazer uma rolagem de percepção para encontrar você.","A presença de alguém é detectada pelos inimigos, mas não sabem exatamente onde nem o que.","Sua presença é detectada, mas um inimigo acha que você é um deles ou algum item do ambiente, o que não deixa a pessoa alerta. Ela poderá interagir à distância e acabar revelando algum detalhe útil para você.","Se continuar se movendo de maneira comedida, continuará indetectado pelos inimigos.","Consegue se mover completamente indetectado, tendo +1d3 para Surpreender, Intimidar ou Distrair em seguida.",❌,
ROUBAR / PLANTAR,MAL,𖦹,Pegar ou esconder itens sem ser detectado.,,,Ação,,💎,,,"Percepção, Narração ",Escondido,"Alerta, Desconfiado",,,,,É percebido pelo inimigo imediatamente.,"Não consegue pegar o item, mas deixa o inimigo desconfiado. Outrém deverá distraí-lo imediatamente antes que ele perceba e fique hostil, na maioria das vezes.","Não consegue pegar o item, mas também não é notado. ","Consegue pegar/plantar o item, mas deixa o inimigo desconfiado. Deverá distraí-lo imediatamente antes que ele perceba.","Consegue pegar/plantar o item, sem este detectar que você foi quem roubou/plantou, mas dentro de alguns momentos ele irá perceber que o item está faltando/nele, porém sem necessariamente desconfiar de você.",Consegue pegar ou depositar o item sem nenhuma detecção.,Consegue pegar ou depositar o objeto sem nenhuma detecção e ainda encontra mais algo de bônus.,❌,
MANUSEAR,MAL,𖦹,Lidar com mecanismos e dispositivos.,,,Ação,,,,,Narração ,Calma,,,,,,"Não consegue utilizar o item e ele se quebra no processo, ficando inutilizável.",Não consegue utilizar as mãos para o fim desejado e se machuca com o item.,"Você consegue manusear o item para realizar seu objetivo, mas danifica o item no processo, ou consegue manuseá-lo corretamente apenas depois de muito tempo.",Tem alguma coisa faltando para que você consiga manusear o item corretamente; você precisa de uma outra ideia.,"Você consegue usar o item de forma satisfatória depois de algumas tentativas, conseguindo realizar a atividade, mas gastando 1 Energia.",Você é capaz de manusear o item de forma satisfatória.,"Você manuseia o item com maestria e destreza, realizando perfeitamente a atividade desejada.",❌,
RECURSOS,-,-,Ação para descobrir se o personagem tem algo que precisa e que não foi mencionado na narração ainda.,,,Ação Bônus,,💎,,,Narração ,for Coerente,,,,,,Não tem o item e tem azar em relação a ele: terá -1d3 em qualquer rolagem daqui pra frente com o intuito de adquirir este item.,"Não tem, mas pode conseguir se fizer algo desafiador ou distante.","Não tem, mas pode conseguir se fizer algo simples.","Tem o item que precisa, mas não está com você agora.","Tem o item que precisa, mas não é seu ou não está em bom estado ou é falso.",Tem o item que precisa.,Tem não só isso como tem mais algo muito valioso.,❌,
MUNDO,-,-,"3 - Trivial (realizável sem esforço significativo); 6 - Moderado (exige atenção e um pouco de habilidade); 9 - Desafiador; 12 - Difícil (exige esforço considerável para ser alcançado); 15 - Dificílimo; 18 - Hercúleo (extremamente difícil, exige habilidades extraordinárias); 21 - Impraticável (possível na teoria, mas quase impossível na prática)",,,-,,,,,Jogador,,,Para rolagens não necessariamente contra um NPC ou outro Jogador,,,,,,,,,,,,
